Note: Data is from the 2010 United States Census Data and the 2006-2010 American Community Survey 5-Year Estimates.[1][2],,,,,,
Rank,County,Per Captia Income,Median Household Income,Median Family Income,Population,Number Of Households
1,Chester,41251,84741,101760,498886,182900
2,Montgomery,40076,76380,94592,799874,307750
3,Bucks,35687,74828,90274,625249,234849
4,Delaware,32067,61876,77879,558979,208700
5,Cumberland,30119,60219,75000,235406,93943
6,Allegheny,29549,47961,65678,1223348,533960
7,Butler,28446,56878,69464,183862,72835
8,Northampton,28362,58762,70457,297735,113565
9,Dauphin,27727,52371,66023,268100,110435
10,Pike,27564,56843,62982,57369,21925
11,Lehigh,27301,53541,66004,349497,133983
12,York,27196,57494,67624,434972,168372
13,Montour,26124,45255,57011,18267,7393
14,Washington,26045,49687,63690,207820,85089
15,Lancaster,25854,54765,64672,519445,193602
16,Westmoreland,25845,47689,60987,365169,153650
17,Adams,25606,56529,66222,101407,38013
18,Lebanon,25525,52356,62174,133568,52258
19,Berks,25518,53470,63724,411442,154356
20,Franklin,25307,51035,61410,149618,58389
21,Monroe,24824,56733,64763,169842,61091
22,Beaver,24168,46190,57201,170539,71383
23,Lackawanna,24152,43673,57846,214437,87226
24,Centre,23744,47016,65121,153990,57573
25,Perry,23701,52659,61221,45969,17903
26,Luzerne,23245,42224,54843,320918,131932
27,Carbon,22956,47744,54918,65249,26684
28,Wyoming,22899,47403,56957,28276,11237
29,Blair,22880,42363,53166,127089,52159
30,Elk,22729,43745,51889,31946,13693
31,Erie,22644,43595,56144,280566,110413
32,Wayne,22525,45930,53665,52822,20625
33,Columbia,22403,42788,52959,67295,26479
34,Susquehanna,22173,43457,51151,43356,17798
35,Warren,22170,41286,52587,41815,17767
36,Armstrong,21828,42752,52085,68941,28713
37,Lycoming,21802,42689,52124,116111,46700
38,Mercer,21765,42573,54160,116638,46442
39,Fulton,21739,45240,54946,14845,6014
40,Union,21612,45474,52664,44947,14765
41,Lawrence,21467,42570,52370,91108,37126
42,Schuylkill,21408,42315,53083,148289,60192
43,Cameron,21375,40733,49922,5085,2273
44,Cambria,21278,39574,50900,143679,58950
45,Philadelphia,21117,36251,45619,1526006,599736
46,Snyder,21072,44713,51715,39702,14750
47,McKean,21022,40097,50000,43450,17183
48,Bradford,20979,40543,50142,62622,25321
49,Juniata,20682,44276,52489,24636,9476
50,Northumberland,20654,38387,48708,94528,39242
51,Huntingdon,20616,41700,51969,45913,17280
52,Potter,20594,39196,47995,17457,7227
53,Indiana,20587,40225,51227,88880,35005
54,Bedford,20545,40249,48825,49762,20233
55,Venango,20522,39812,48866,54984,22621
56,Crawford,20383,38924,48557,88765,35028
57,Tioga,20358,40338,48382,41981,16727
58,Jefferson,20305,38406,47051,45200,18561
59,Clarion,20259,40028,50697,39988,16128
60,Greene,20258,40498,49488,38686,14724
61,Clearfield,20142,37130,46735,81642,32288
62,Somerset,19903,39194,48994,77742,31090
63,Sullivan,19718,36250,48168,6428,2777
64,Clinton,19261,39354,50055,39238,15151
65,Fayette,19209,34796,44114,136606,55997
66,Mifflin,19085,37539,46598,46682,18743
67,Forest,14325,35150,43750,7716,2511
,,,,,,
,Pennsylvania,27049,50398,63364,12702379,5018904
,United States,27334,51914,62982,308745538,116716292
