Table5:,"Sales by County and Category, in Dollars, RY 2013-2014",,,,,,,,,,,,,
County,BeverageWine,BoxWine,Brandy&Cognac,Cocktails&Mixers,Cordials,DessertWine,Gin,Rum,SparklingWine,TableWine,Tequila,Vodka,Whiskey,CountyTotal
Adams,96471.86,299448.35,97429.97,65806.3,525719.96,48180.95,145323.94,493662.58,168818.15,1857367.99,155008.54,775794.83,1101971.29,5831004.71
Allegheny,5824459.52,12312797.47,6775493.78,2936223.21,17570783.75,2189530.85,6316094.73,17345262.58,9011152.11,96667076.92,7078437.67,47388739.34,39791387.56,271207439.5
Armstrong,174356.67,187448.21,65954.44,66785.23,494048.06,29463.05,66918.61,495515.07,75056.53,742640.29,71613.64,676209.38,885897.02,4031906.2
Beaver,574328.21,906706.96,465055.11,270922.27,1689156.69,107891.29,375539.69,1784913.19,364892.93,4221054.32,517746.62,3954924.28,3828336.8,19061468.36
Bedford,107076.11,138082.06,74920.48,48859.94,373984.98,24678.8,50444.99,355865.31,86219.41,750477.35,71575.38,434942.11,707673.26,3224800.18
Berks,1441695,2718879.16,1549528.9,695685.8,4495899.54,394406.12,1122513.13,4943866.72,1400889.1,14709741.77,1441014.74,9198442.62,7996211.26,52108773.86
Blair,498856.59,647255.22,271335.1,222859.16,1673003.16,81965.41,255930.81,1577794.65,316434.54,3379482.53,346752.23,2236843.43,2604830.43,14113343.26
Bradford,138419.38,318463.37,125582.37,77411.16,629045.14,36125.94,122523.1,602544.22,59472.84,969280.1,104987.77,748466.62,1117850.73,5050172.74
Bucks,2115348.47,6448519.65,2359037.76,1497455.89,8001799.24,1003934.37,2687724.1,6571003.46,4511848.23,56921440.99,3250359.01,22800913.89,17529052.57,135698437.6
Butler,672628.29,1712866.92,369427.28,400313.72,2700538.32,214302.52,647444.5,2803060.2,848143.65,11246600.7,763095.55,5214437.12,5607540.5,33200399.27
Cambria,685917.3,599448.27,316859.7,209626.77,1697647.3,99746.99,253599.13,1574809.72,319410.79,2769142.92,305845.52,2503330.11,2821803.48,14157188
Cameron,18472.98,14043.94,11060.91,5509.1,76279.11,3032.35,5846.58,62083.28,5130.17,68730.5,7003.63,49871.31,103506.78,430570.64
Carbon,145426.81,272441.89,140374.81,66558.75,554746.54,45408.83,87749.76,419632.49,90843.54,1075412.52,83156.93,924301.27,800008.99,4706063.13
Centre,361015.86,1338493.74,378434.08,186088.11,2121739.43,182816.62,725844.3,2558000.88,928038.39,9129321.18,900680.97,4908155.5,4628742.73,28347371.79
Chester,1174794.13,5238839.44,1598176.53,962945.15,5880423.66,811521.91,2715637.11,5746340.97,4472398.92,54528427.9,2881991.45,18836379.8,15538881.03,120386758
Clarion,129372.75,164073.14,74149.2,58298.52,543686.47,16619.14,63698.97,506105.92,62792.78,639986.07,77870.29,580274.45,791518.47,3708446.17
Clearfield,309126.54,354673.97,216953.89,127059.42,1012280.54,48772.64,106395.04,857219.32,142238.06,1415313.01,140983.02,1101981.2,1532719.84,7365716.49
Clinton,88524.42,100448.4,59631.76,42473.84,439872.84,13646.93,55357,407492.62,52664.76,539559.3,57299.52,510847.03,551978.12,2919796.54
Columbia,232622.14,364494.26,142752.95,85081.63,839549.54,60360.41,165335.33,933610.1,154986.92,1872366.36,173357.18,1449799.45,1330783.53,7805099.8
Crawford,296380.63,404690.37,202898.58,109945.32,864217.06,46567.87,176075.26,1000300.85,147787.33,1760164.38,193719.76,1457717.6,1901538.68,8562003.69
Cumberland,883722.71,2558253.13,645271.25,488453.07,3382870.58,304318.51,925178.36,3657057.75,1361310.53,16134978.57,855973.58,7049861.61,7179830.34,45427079.99
Dauphin,1162843.57,2219659.74,1850047.15,577857.98,3419156.7,314068.35,1216239.64,3818026.36,1305057.71,14052123.95,1088494.21,8011481.28,6466063.41,45501120.05
Delaware,1571714.5,3394010.52,2686210.13,1003049.12,3928895.46,779285.76,1735548.21,4280942.49,2654321.52,30915509.18,1683587.56,13915876.08,9145492.53,77694443.06
Elk,124410.18,96957.96,50132.6,45286.94,377565.34,16339.52,44592.16,346862.68,50217.51,429743.09,40741.73,324101.76,575759.55,2522711.02
Erie,1182492.67,2065830.78,1352249.42,517867.01,4201854.53,225662.88,943339.28,4875580.04,992361.89,10462311.48,1259018.85,8616596.02,7743393.34,44438558.19
Fayette,468766.01,382945.26,317578.43,155157.84,1175792.92,59067.96,191546.56,1053051.8,345486.86,2379671.94,303122.33,2025266.19,2328098.09,11185552.19
Forest,24903.19,33407.54,11717.65,11782.11,92070.32,3322.09,10274.74,89421.58,10741.07,91551.29,13180.56,121117.02,228958.47,742447.63
Franklin,351008.62,624150.72,429213.12,177535.96,1215103.01,84401.96,224427.37,1255539.44,239367.58,3126195.77,288652.86,1816387.95,2105493.33,11937477.69
Fulton,21312.23,28227.69,25047.13,7851.28,90187.03,1748.04,13240.55,74210.23,8734.07,77314.74,8380.12,72918.46,137219.71,566391.28
Greene,92583.64,74746.54,39968.62,37348.17,277287.87,7716.49,31620.83,260221.27,33896.85,306023.95,67898.47,378827.28,733877.95,2342017.93
Huntingdon,105353.15,144941.26,83594.59,52222.83,339751.94,13841.9,61891.63,394303.96,48890.07,537510.34,51066.29,470463.35,599024.36,2902855.67
Indiana,296780.11,352500.26,147700.79,112156.43,940661.13,54061.74,156348.37,971280,182186.28,1954675.96,225164.21,1541037.32,1721066.45,8655619.05
Jefferson,138103.61,107733.72,78844.19,48718.6,415861.07,17436.38,35010.85,355694.63,40778.47,443479.08,46685.91,438739.92,684963.76,2852050.19
Juniata,39460.64,50960.92,36154.38,16192.71,156646.08,5614.37,18426.02,138091.45,15209.02,165901.31,14399.41,152876.43,253156.04,1063088.78
Lackawanna,1156394.06,2187315.38,996959.77,427989.27,3619448.04,539755.68,743328.15,2226681.33,993360.46,12868378.01,756133.54,7051874.23,5934074.98,39501692.9
Lancaster,1357427.61,3868063.15,1300083.12,757954.98,4855371.49,365460.75,1246508.06,5412956.32,1557268.78,17762865.37,1033047.4,9537717.65,9076072.67,58130797.35
