Table5:,RY2012-13,SalesbyCountyandCategory,inDollars,,,,,,,,,,,
County,BoxWine,Brandy&Cognac,Cocktails&Mixers,Cordials,DessertWine,Gin,Rum,Asian&Sake,SparkingWine,TableWine,Tequila,Vodka,Whiskey,CountyTotals
Adams,267614.00,98583.00,76868.00,516223.00,47966.00,146057.00,504348.00,4282.00,160405.00,1774055.00,151657.00,768590.00,983322.00,5499971.00
Allegheny,11471048.00,6202860.00,3167710.00,17389578.00,2131650.00,6150554.00,17521515.00,418219.00,8244261.00,91414052.00,6672257.00,46862385.00,35174326.00,252820413.00
Armstrong,176640.00,67431.00,72638.00,481810.00,30391.00,62854.00,502277.00,1923.00,79471.00,685075.00,69900.00,647223.00,790607.00,3668240.00
Beaver,825358.00,413012.00,303756.00,1664663.00,107407.00,369581.00,1792983.00,12749.00,342164.00,4062113.00,486078.00,3906257.00,3423583.00,17709704.00
Bedford,124376.00,78289.00,53145.00,376766.00,28962.00,48469.00,356683.00,1468.00,77718.00,754285.00,67402.00,436085.00,642818.00,3046466.00
Berks,2569096.00,1450088.00,742944.00,4421524.00,393732.00,1102427.00,4925762.00,49269.00,1309099.00,14176759.00,1339409.00,9102974.00,7104572.00,48687655.00
Blair,580932.00,272363.00,246103.00,1683790.00,81323.00,251991.00,1588816.00,10739.00,298879.00,3239741.00,359042.00,2229470.00,2354756.00,13197943.00
Bradford,303641.00,117448.00,96701.00,670492.00,34747.00,124631.00,622827.00,2035.00,62662.00,938187.00,127429.00,758124.00,1168239.00,5027163.00
Bucks,6221597.00,2312770.00,1732623.00,8150588.00,1038253.00,2639011.00,6680400.00,206517.00,4194260.00,55372996.00,3054580.00,22851558.00,15422095.00,129877249.00
Butler,1679120.00,356527.00,462629.00,2673703.00,224423.00,652525.00,2882022.00,46673.00,870747.00,11512204.00,739196.00,5233174.00,5181175.00,32514117.00
Cambria,562322.00,316201.00,229224.00,1696635.00,106541.00,260178.00,1609775.00,12540.00,297817.00,2683461.00,308409.00,2531124.00,2630219.00,13244448.00
Cameron,13798.00,10734.00,7072.00,79713.00,2737.00,6950.00,60993.00,37.00,5946.00,67520.00,8361.00,48864.00,92227.00,404951.00
Carbon,258706.00,142908.00,76074.00,563388.00,49277.00,84782.00,434694.00,1337.00,89925.00,1034930.00,81821.00,932103.00,744557.00,4494502.00
Centre,1248030.00,361607.00,205914.00,2152434.00,174365.00,682354.00,2606853.00,48487.00,849895.00,8654632.00,864854.00,4836590.00,3909198.00,26595213.00
Chester,4949912.00,1506907.00,1138854.00,6059820.00,785728.00,2673230.00,5848407.00,158388.00,3959894.00,52206410.00,2714615.00,18943870.00,13522885.00,114468919.00
Clarion,149986.00,69019.00,63461.00,560528.00,17914.00,61512.00,530296.00,1694.00,72699.00,635105.00,89660.00,618376.00,713674.00,3583924.00
Clearfield,334501.00,213696.00,134092.00,1027639.00,49603.00,106176.00,876693.00,6147.00,136193.00,1329820.00,146093.00,1097512.00,1437999.00,6896163.00
Clinton,105622.00,63248.00,47094.00,458507.00,12891.00,58243.00,412114.00,1409.00,55756.00,551726.00,69350.00,537384.00,529652.00,2902998.00
Columbia,347080.00,129093.00,94739.00,856458.00,65226.00,160020.00,946222.00,5710.00,143296.00,1769894.00,168530.00,1515138.00,1186580.00,7387986.00
Crawford,395767.00,204977.00,124445.00,874471.00,42180.00,171835.00,1004882.00,3890.00,142146.00,1655482.00,174666.00,1448273.00,1771750.00,8014763.00
Cumberland,2399767.00,617391.00,527929.00,3334518.00,318927.00,912590.00,3652986.00,59887.00,1286001.00,15583469.00,849703.00,6906538.00,6419872.00,42869576.00
Dauphin,2059674.00,1773852.00,622432.00,3381436.00,325843.00,1216366.00,3861701.00,55912.00,1203077.00,13624711.00,1061363.00,7902387.00,5846469.00,42935225.00
Delaware,3150762.00,2553289.00,1118987.00,3973166.00,832804.00,1726743.00,4254731.00,138485.00,2419324.00,29501951.00,1580030.00,13634168.00,7835714.00,72720156.00
Elk,103480.00,51826.00,51500.00,377085.00,18764.00,45459.00,363359.00,1135.00,48165.00,400921.00,43723.00,332716.00,531998.00,2370131.00
Erie,1933798.00,1277373.00,579794.00,4253052.00,246326.00,948349.00,5055982.00,27286.00,962088.00,10027007.00,1220523.00,8602251.00,7038384.00,42172215.00
Fayette,362848.00,341618.00,167810.00,1230752.00,59999.00,203640.00,1099996.00,9303.00,254470.00,2245011.00,304046.00,2044037.00,2290348.00,10613877.00
Forest,31198.00,13600.00,13566.00,95281.00,3270.00,11185.00,89657.00,20.00,10949.00,86378.00,13192.00,116047.00,224738.00,709079.00
Franklin,559288.00,405242.00,186930.00,1215487.00,90958.00,230030.00,1271641.00,16312.00,222549.00,2960821.00,279896.00,1778550.00,1907259.00,11124964.00
Fulton,27737.00,23696.00,10142.00,81948.00,1925.00,10213.00,79957.00,248.00,8562.00,71540.00,7007.00,74707.00,124209.00,521890.00
Greene,67942.00,45095.00,40091.00,258567.00,7005.00,32363.00,260822.00,773.00,33790.00,273936.00,62227.00,388290.00,684492.00,2155394.00
Huntingdon,131657.00,86603.00,55856.00,336706.00,14582.00,57655.00,404797.00,1440.00,45602.00,492829.00,55890.00,465558.00,529784.00,2678960.00
Indiana,341298.00,140558.00,124359.00,956267.00,64710.00,141292.00,1015652.00,6989.00,174453.00,1855937.00,233410.00,1607182.00,1554543.00,8216651.00
Jefferson,95417.00,85445.00,47691.00,428972.00,18572.00,35640.00,376232.00,883.00,42712.00,432407.00,42069.00,421834.00,627060.00,2654935.00
Juniata,33593.00,27280.00,14288.00,119042.00,4859.00,14829.00,115295.00,333.00,12330.00,134564.00,12021.00,115968.00,182631.00,787032.00
Lackawanna,2052510.00,963792.00,497119.00,3691086.00,571400.00,741826.00,2218516.00,50639.00,948451.00,12467486.00,749094.00,7035646.00,5382170.00,37369735.00
Lancaster,3551183.00,1252620.00,839969.00,4868797.00,369156.00,1195900.00,5415445.00,55834.00,1467546.00,17126728.00,1054003.00,9334254.00,7996904.00,54528338.00
Lawrence,268213.00,245895.00,131492.00,690535.00,45795.00,138463.00,769853.00,4972.00,171670.00,1632566.00,214041.00,1660983.00,1574401.00,7548880.00
Lebanon,617940.00,330218.00,188437.00,1100071.00,73536.00,228436.00,1388884.00,6588.00,226767.00,2561157.00,197448.00,1820202.00,1764898.00,10504582.00
Lehigh,3441728.00,2028162.00,881890.00,4816490.00,554811.00,1439525.00,4676083.00,84546.00,2272791.00,24032805.00,1510584.00,12031684.00,8575362.00,66346462.00
Luzerne,2310256.00,1680550.00,654626.00,4576819.00,531697.00,790262.00,3117679.00,62272.00,1073177.00,12348463.00,874151.00,8336522.00,6869918.00,43226392.00
Lycoming,661896.00,371049.00,209347.00,1827456.00,96773.00,366576.00,2025571.00,11655.00,350152.00,4122275.00,328718.00,2902062.00,2787507.00,16061038.00
McKean,200956.00,85080.00,59842.00,573152.00,23206.00,68591.00,510242.00,1632.00,63510.00,741045.00,74707.00,632094.00,846422.00,3880477.00
Mercer,479544.00,342469.00,189545.00,1308163.00,77227.00,277155.00,1262374.00,7587.00,221510.00,2663132.00,368393.00,2477983.00,2698727.00,12373808.00
Mifflin,163463.00,57514.00,44967.00,556553.00,15901.00,59188.00,456307.00,1034.00,43565.00,476136.00,50436.00,471321.00,561551.00,2957937.00
Monroe,1857776.00,1225335.00,522686.00,2539339.00,257567.00,613209.00,2449341.00,42832.00,809991.00,9237508.00,868820.00,6305956.00,4138775.00,30869134.00
Montgomery,7653640.00,4175433.00,2378434.00,9771628.00,1759507.00,4238527.00,9552144.00,624350.00,6925099.00,85318073.00,5098363.00,31408079.00,21700708.00,190603986.00
Montour,168170.00,58865.00,41243.00,292892.00,23510.00,66285.00,297760.00,2177.00,83535.00,958386.00,52615.00,459016.00,463722.00,2968177.00
Northampton,2505521.00,1065395.00,632556.00,3811107.00,341687.00,959451.00,3329613.00,41851.00,1108132.00,13652308.00,1017846.00,8267824.00,5664054.00,42397344.00
Northumberland,286465.00,165506.00,100858.00,841754.00,58660.00,125725.00,1030971.00,4086.00,141886.00,1141448.00,123170.00,1104578.00,1094131.00,6219237.00
Perry,132088.00,45705.00,34870.00,280028.00,17746.00,36000.00,315891.00,908.00,36387.00,374487.00,35160.00,322680.00,491247.00,2123197.00
Philadelphia,6718188.00,16341462.00,4102326.00,13546663.00,3926861.00,7035745.00,17930451.00,497674.00,8355278.00,59418941.00,8032125.00,51220870.00,25712912.00,222839496.00
Pike,425121.00,143179.00,98114.00,467364.00,64646.00,120573.00,371789.00,12096.00,155574.00,2366239.00,143307.00,1096164.00,892222.00,6356385.00
Potter,72189.00,28914.00,21947.00,159591.00,5892.00,24929.00,140995.00,577.00,16502.00,221989.00,18453.00,172434.00,270439.00,1154851.00
Schuylkill,659512.00,323036.00,246293.00,1429114.00,143978.00,253160.00,1284919.00,9511.00,288443.00,2820741.00,230181.00,1904440.00,1917483.00,11510810.00
Snyder,135200.00,37787.00,47988.00,286327.00,15938.00,53872.00,355053.00,2211.00,57664.00,599227.00,64723.00,441948.00,386776.00,2484714.00
Somerset,205640.00,85271.00,64326.00,553539.00,26676.00,71789.00,547443.00,2333.00,85160.00,959102.00,83451.00,665413.00,924232.00,4274375.00
Sullivan,45650.00,27080.00,12677.00,88705.00,8731.00,16678.00,78326.00,832.00,10176.00,148402.00,15022.00,118748.00,194453.00,765479.00
Susquehanna,157698.00,85100.00,38273.00,383150.00,32107.00,50251.00,251791.00,1136.00,40386.00,583901.00,72481.00,446058.00,642541.00,2784873.00
Tioga,191246.00,66886.00,59801.00,515515.00,23425.00,86415.00,497290.00,1063.00,49793.00,753389.00,75894.00,513713.00,868650.00,3703079.00
Union,242255.00,56217.00,64552.00,379418.00,32144.00,119463.00,442530.00,5828.00,180095.00,1551588.00,110110.00,692401.00,681224.00,4557825.00
Venango,191629.00,101657.00,82298.00,528212.00,22919.00,77579.00,529673.00,2437.00,70753.00,803501.00,80702.00,651043.00,883046.00,4025449.00
Warren,214075.00,71032.00,54378.00,491103.00,21697.00,77856.00,516377.00,1489.00,51173.00,678857.00,59532.00,579149.00,821357.00,3638074.00
Washington,1178294.00,413250.00,385797.00,2565579.00,173664.00,548549.00,2531704.00,29237.00,673217.00,8091695.00,715573.00,5135285.00,5299835.00,27741680.00
Wayne,639475.00,190550.00,131741.00,925333.00,120753.00,241921.00,715532.00,10386.00,260658.00,3605878.00,209067.00,1928330.00,1530813.00,10510437.00
Westmoreland,2538581.00,693247.00,770344.00,4940044.00,336483.00,976638.00,4788792.00,39141.00,1212841.00,14458817.00,1169829.00,8988647.00,9114538.00,50027943.00
Wyoming,164973.00,61229.00,36373.00,286408.00,23651.00,58651.00,231789.00,1089.00,43976.00,556209.00,58374.00,411519.00,488786.00,2423027.00
York,2739756.00,1310702.00,774694.00,5069908.00,395412.00,989686.00,5663018.00,57980.00,1223175.00,13903433.00,1223361.00,8717094.00,7294237.00,49362457.00
CategoryTotal,86754439.00,55960817.00,27037261.00,146562854.00,17627014.00,43548604.00,149305514.00,2990501.00,56836340.00,632585842.00,48438142.00,347949450.00,265115776.00,1880712552.00
