"Table 8: Stores Ranked by Total Dollar Sales, RY 2013-14",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Rank,City+Address_edit,AvgValueOfTransaction,DollarSales,TransactionCount,Store Number,LicenseeOrFulfillmentCenter,,,store_text,text2,Store Number,LicenseeOrFulfillmentCenter,test,test,test,text,text2,AvgVal_text,AvgValueOfTransaction,DollarSales,TransactionCount,,City+Address,City+Address_edit,
1,Philadelphia 2238 Washington Ave ,"$2,274.14","$43,959,058.45",19329.97021,5103 ,1,,"5103* Philadelphia 2238 Washington Ave 19,330 $2,274.14 $43,959,058.45",5103* ,"5103  Philadelphia 2238 Washington Ave 19,330 $2,274.14 $43,959,058.45",5103 ,1,"Philadelphia 2238 Washington Ave 19,330 $","Philadelphia 2238 Washington Ave 19,330 $2"," Philadelphia 2238 Washington Ave 19,330 $","$2,274.14 $43,959,058.45","$43,959,058.45","$2,274.14","$2,274.14","$43,959,058.45",19329.97021,,Philadelphia 2238 Washington Ave ,Philadelphia 2238 Washington Ave ,Philadelphia
2,West Chester 933 Paoli Pike ,$81.34,"$24,066,478.64",295875.0755,1516 ,0,,"1516 West Chester 933 Paoli Pike 295,885 $81.34 $24,066,478.64",1516 ,"1516 West Chester 933 Paoli Pike 295,885 $81.34 $24,066,478.64",1516 ,0,,,,"$81.34 $24,066,478.64","$24,066,478.64",$81.34,$81.34,"$24,066,478.64",295875.0755,,West Chester 933 Paoli Pike ,West Chester 933 Paoli Pike ,West 
3,Pittsburgh 5956 Penn Cir ,$51.24,"$19,131,996.57",373380.1048,247 ,0,,"247 Pittsburgh 5956 Penn Cir S, Ste 201 373,380 $51.24 $19,131,996.57",247 ,"247 Pittsburgh 5956 Penn Cir S, Ste 201 373,380 $51.24 $19,131,996.57",247 ,0,,,,"$51.24 $19,131,996.57","$19,131,996.57",$51.24,$51.24,"$19,131,996.57",373380.1048,,Pittsburgh 5956 Penn Cir ,Pittsburgh 5956 Penn Cir ,Pittsburgh 
4,Pittsburgh 1601 Liberty Ave ,"$1,034.54","$18,515,227.89",17897.06332,215 ,1,,"215* Pittsburgh 1601 Liberty Ave 17,897 $1,034.54 $18,515,227.89",215* ,"215  Pittsburgh 1601 Liberty Ave 17,897 $1,034.54 $18,515,227.89",215 ,1,,,,"$1,034.54 $18,515,227.89","$18,515,227.89","$1,034.54","$1,034.54","$18,515,227.89",17897.06332,,Pittsburgh 1601 Liberty Ave ,Pittsburgh 1601 Liberty Ave ,Pittsburgh 
5,Philadelphia 1218 Chestnut St ,$38.11,"$14,332,674.51",376086.9722,5144 ,0,,"5144 Philadelphia 1218 Chestnut St 376,112 $38.11 $14,332,674.51",5144 ,"5144 Philadelphia 1218 Chestnut St 376,112 $38.11 $14,332,674.51",5144 ,0,,,,"$38.11 $14,332,674.51","$14,332,674.51",$38.11,$38.11,"$14,332,674.51",376086.9722,,Philadelphia 1218 Chestnut St ,Philadelphia 1218 Chestnut St ,Philadelphia 
6,Pittsburgh The Waterworks 974 Freeport Rd ,$51.60,"$13,960,132.44",270545.2023,214 ,0,,"214 Pittsburgh The Waterworks 974 Freeport Rd 270,550 $51.60 $13,960,132.44",214 ,"214 Pittsburgh The Waterworks 974 Freeport Rd 270,550 $51.60 $13,960,132.44",214 ,0,,,,"$51.60 $13,960,132.44","$13,960,132.44",$51.60,$51.60,"$13,960,132.44",270545.2023,,Pittsburgh The Waterworks 974 Freeport Rd ,Pittsburgh The Waterworks 974 Freeport Rd ,Pittsburgh 
7,Ardmore Ardmore Plz Shopping Ctr 56 Greenfield Ave ,$56.56,"$13,655,306.94",241430.4622,4602 ,0,,"4602 Ardmore Ardmore Plz Shopping Ctr 56 Greenfield Ave 241,418 $56.56 $13,655,306.94",4602 ,"4602 Ardmore Ardmore Plz Shopping Ctr 56 Greenfield Ave 241,418 $56.56 $13,655,306.94",4602 ,0,,,,"$56.56 $13,655,306.94","$13,655,306.94",$56.56,$56.56,"$13,655,306.94",241430.4622,,Ardmore Ardmore Plz Shopping Ctr 56 Greenfield Ave ,Ardmore Ardmore Plz Shopping Ctr 56 Greenfield Ave ,Ardmore 
8,Broomall Lawrence Park Ind Ctr 629 Park Way ,"$1,700.99","$13,592,600.73",7990.993909,2301 ,1,,"2301* Broomall Lawrence Park Ind Ctr 629 Park Way 7,991 $1,700.99 $13,592,600.73",2301* ,"2301  Broomall Lawrence Park Ind Ctr 629 Park Way 7,991 $1,700.99 $13,592,600.73",2301 ,1,,,,"$1,700.99 $13,592,600.73","$13,592,600.73","$1,700.99","$1,700.99","$13,592,600.73",7990.993909,,Broomall Lawrence Park Ind Ctr 629 Park Way ,Broomall Lawrence Park Ind Ctr 629 Park Way ,Broomall 
9,Bethel Park Village Sq Mall 5000 Oxford ,$48.13,"$13,579,565.16",282143.4689,9211 ,0,,"9211 Bethel Park Village Sq Mall 5000 Oxford Dr, Ste 100 282,133 $48.13 $13,579,565.16",9211 ,"9211 Bethel Park Village Sq Mall 5000 Oxford Dr, Ste 100 282,133 $48.13 $13,579,565.16",9211 ,0,,,,"$48.13 $13,579,565.16","$13,579,565.16",$48.13,$48.13,"$13,579,565.16",282143.4689,,Bethel Park Village Sq Mall 5000 Oxford ,Bethel Park Village Sq Mall 5000 Oxford ,
10,Philadelphia 401 Franklin Mills Cir ,$48.16,"$13,341,940.94",277033.6574,5133 ,0,,"5133 Philadelphia 401 Franklin Mills Cir 277,009 $48.16 $13,341,940.94",5133 ,"5133 Philadelphia 401 Franklin Mills Cir 277,009 $48.16 $13,341,940.94",5133 ,0,,,,"$48.16 $13,341,940.94","$13,341,940.94",$48.16,$48.16,"$13,341,940.94",277033.6574,,Philadelphia 401 Franklin Mills Cir ,Philadelphia 401 Franklin Mills Cir ,
