"Table 8: Stores Ranked by Total Dollar Sales, RY 2013-14",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Rank,City+Address_edit,AvgValueOfTransaction,DollarSales,TransactionCount,Store Number,LicenseeOrFulfillmentCenter,,,,,,,,,,,,,,
1,Philadelphia 2238 Washington Ave ,"$2,274.14","$43,959,058.45",19329.97021,5103 ,1,,,,,,,,,,,,,,
2,West Chester 933 Paoli Pike ,$81.34,"$24,066,478.64",295875.0755,1516 ,0,,,,,,,,,,,,,,
3,Pittsburgh 5956 Penn Cir ,$51.24,"$19,131,996.57",373380.1048,247 ,0,,,,,,,,,,,,,,
4,Pittsburgh 1601 Liberty Ave ,"$1,034.54","$18,515,227.89",17897.06332,215 ,1,,,,,,,,,,,,,,
5,Philadelphia 1218 Chestnut St ,$38.11,"$14,332,674.51",376086.9722,5144 ,0,,,,,,,,,,,,,,
6,Pittsburgh The Waterworks 974 Freeport Rd ,$51.60,"$13,960,132.44",270545.2023,214 ,0,,,,,,,,,,,,,,
7,Ardmore Ardmore Plz Shopping Ctr 56 Greenfield Ave ,$56.56,"$13,655,306.94",241430.4622,4602 ,0,,,,,,,,,,,,,,
8,Broomall Lawrence Park Ind Ctr 629 Park Way ,"$1,700.99","$13,592,600.73",7990.993909,2301 ,1,,,,,,,,,,,,,,
9,Bethel Park Village Sq Mall 5000 Oxford ,$48.13,"$13,579,565.16",282143.4689,9211 ,0,,,,,,,,,,,,,,
10,Philadelphia 401 Franklin Mills Cir ,$48.16,"$13,341,940.94",277033.6574,5133 ,0,,,,,,,,,,,,,,
11,Wyomissing Berkshire Mall West 1101 Woodland Rd ,$44.18,"$13,165,927.80",298006.5143,621 ,0,,,,,,,,,,,,,,
12,Flourtown 1440 Bethlehem Pike ,$48.18,"$12,362,637.09",256592.7167,4623 ,0,,,,,,,,,,,,,,
13,Lemoyne West Shore Plz Shopping Ctr 1200 Market St ,$43.82,"$12,204,191.13",278507.3284,2102 ,0,,,,,,,,,,,,,,
14,Doylestown 132 Veterans Ln ,$43.94,"$12,066,874.92",274621.6413,926 ,0,,,,,,,,,,,,,,
15,1007 Cranberry Twp Cranberry Mall 20111 Rt 19,$50.25,"$11,954,295.56",237896.4291,1007 ,0,,,,,,,,,,,,,,
16,State College 1690 N Atherton St ,$41.59,"$11,732,962.58",282110.1847,1405 ,0,,,,,,,,,,,,,,
17,Conshohocken Whitemarsh Shopping Ctr 44 Ridge Pike ,$38.95,"$11,296,116.94",290015.8393,4628 ,0,,,,,,,,,,,,,,
18,Philadelphia 180 W Girard Ave ,$35.20,"$11,176,922.43",317526.2054,5185 ,0,,,,,,,,,,,,,,
19,King Of Prussia 143 S Gulph Rd ,$66.27,"$11,175,794.64",168640.3296,4620 ,0,,,,,,,,,,,,,,
20,Newtown 10 W Centre Ave ,$44.98,"$11,054,184.26",245757.7648,909 ,0,,,,,,,,,,,,,,
21,Washington Washington Mall 301 Oak Spring Rd ,$52.30,"$10,871,325.73",207864.7367,6316 ,0,,,,,,,,,,,,,,
22,Pittsburgh Robinson Town Centre 1850 Park Manor Blvd ,$44.04,"$10,709,812.16",243183.7457,231 ,0,,,,,,,,,,,,,,
23,Easton Northampton Crossings 3718 Easton-Nazareth Hwy ,$38.91,"$10,700,439.51",275004.8705,4814 ,0,,,,,,,,,,,,,,
24,Harrisburg Kmart Shopping Ctr 5070 Jonestown Rd ,$38.33,"$10,637,258.76",277517.8388,2210 ,0,,,,,,,,,,,,,,
25,Philadelphia Columbus Commons North Shopping Ctr 1940 S Christopher Columbus Blvd ,$41.13,"$10,580,293.38",257240.2961,5104 ,0,,,,,,,,,,,,,,
26,Allentown Crest Plz Shopping Ctr 1516 N Cedar Crest Blvd ,$43.10,"$10,271,448.14",238316.6622,3901 ,0,,,,,,,,,,,,,,
27,"Clarks Summit 222 Northern Blvd, ",$47.19,"$10,158,397.96",215265.9029,3516 ,0,,,,,,,,,,,,,,
28,Norristown Swede Sq Shopping Ctr 2927 Swede Rd ,$38.78,"$10,131,270.99",261249.8966,4631 ,0,,,,,,,,,,,,,,
29,Lancaster Hawthorne Centre Shopping Ctr 2076 Fruitville Pike ,$36.59,"$10,129,395.97",276835.0907,3614 ,0,,,,,,,,,,,,,,
30,Philadelphia 2040 Market St ,$35.32,"$10,035,023.24",284117.3058,9101 ,0,,,,,,,,,,,,,,
31,Feasterville 855B Pennsylvania Blvd ,"$1,503.71","$9,667,380.30",6429.019093,940 ,1,,,,,,,,,,,,,,
32,Lansdale Allen Forge Shopping Ctr 850 S Valley Forge Rd ,$34.74,"$9,618,541.63",276872.2404,4633 ,0,,,,,,,,,,,,,,
33,Jenkintown 935 Old York Rd ,$39.16,"$9,543,142.51",243696.1826,4613 ,0,,,,,,,,,,,,,,
34,Monroeville 3845 Northern Pike ,$40.86,"$9,480,898.78",232033.744,227 ,0,,,,,,,,,,,,,,
35,York Eastern Boulevard Shopping Ctr 2414 Eastern Blvd ,$35.24,"$9,357,971.79",265549.7103,6707 ,0,,,,,,,,,,,,,,
36,Hummelstown Hershey Sq Shopping Ctr 1158 Mae St ,$56.13,"$9,317,011.09",165989.8644,2211 ,0,,,,,,,,,,,,,,
37,Bethlehem 3084 Emrick Blvd (Rear) ,"$1,079.62","$8,799,989.69",8151.006549,4817 ,1,,,,,,,,,,,,,,
38,Pittsburgh 1955 Wharton St ,$31.60,"$8,751,853.84",276957.4,260 ,0,,,,,,,,,,,,,,
39,Whitehall 2503 Mickley Ave ,$32.71,"$8,689,149.76",265641.9982,3913 ,0,,,,,,,,,,,,,,
40,Maple Glen Maple Glen Shopping Ctr 1973 Norristown Rd ,$45.49,"$8,653,770.20",190234.5614,4606 ,0,,,,,,,,,,,,,,
41,State College Hamilton Sq Shopping Ctr 230 W Hamilton Ave ,$54.02,"$8,633,243.61",159815.6907,1404 ,0,,,,,,,,,,,,,,
42,Quakertown Quakertown Shopping Ctr 1465 W Broad ,$31.46,"$8,618,221.06",273942.1825,920 ,0,,,,,,,,,,,,,,
43,Wexford 125 Towne Centre ,$49.50,"$8,600,397.55",173745.4051,9208 ,0,,,,,,,,,,,,,,
44,"Center Valley The Promenade Shops At Saucon Valley 3060 Ctr Valley Pkwy, ",$54.29,"$8,511,622.14",156780.662,3918 ,0,,,,,,,,,,,,,,
45,Springfield 149 Baltimore Pike ,$27.39,"$8,340,240.74",304499.4794,2310 ,0,,,,,,,,,,,,,,
46,Exton 275 Main St ,$44.19,"$8,200,129.27",185565.2697,1501 ,0,,,,,,,,,,,,,,
47,Lancaster 1190 Dillerville Rd ,"$1,111.38","$8,114,176.45",7300.991965,3616 ,1,,,,,,,,,,,,,,
48,Erie Yorktown Centre 2501 W 12th St ,$43.31,"$8,083,410.63",186640.7442,2514 ,0,,,,,,,,,,,,,,
49,Pittsburgh 8090 Mcintyre Sq Dr ,$36.36,"$7,935,768.53",218255.4601,277 ,0,,,,,,,,,,,,,,
50,Collegeville Market Place Shopping Ctr 201 2nd ,$39.87,"$7,923,492.08",198733.1849,4610 ,0,,,,,,,,,,,,,,
51,Warrington 1115 Main St ,$38.51,"$7,822,026.05",203116.7502,932 ,0,,,,,,,,,,,,,,
52,"Bridgeville United Industr Park, ","$1,337.25","$7,709,259.70",5765.010058,222 ,1,,,,,,,,,,,,,,
