Table5: RY2012-13 SalesbyCountyandCategory inDollars
County BoxWine Brandy&Cognac Cocktails&Mixers Cordials DessertWine Gin Rum Asian&Sake SparkingWine TableWine Tequila Vodka Whiskey CountyTotals
Adams $267,614 $98,583 $76,868 $516,223 $47,966 $146,057 $504,348 $4,282 $160,405 $1,774,055 $151,657 $768,590 $983,322 $5,499,971
Allegheny $11,471,048 $6,202,860 $3,167,710 $17,389,578 $2,131,650 $6,150,554 $17,521,515 $418,219 $8,244,261 $91,414,052 $6,672,257 $46,862,385 $35,174,326 $252,820,413
Armstrong $176,640 $67,431 $72,638 $481,810 $30,391 $62,854 $502,277 $1,923 $79,471 $685,075 $69,900 $647,223 $790,607 $3,668,240
Beaver $825,358 $413,012 $303,756 $1,664,663 $107,407 $369,581 $1,792,983 $12,749 $342,164 $4,062,113 $486,078 $3,906,257 $3,423,583 $17,709,704
Bedford $124,376 $78,289 $53,145 $376,766 $28,962 $48,469 $356,683 $1,468 $77,718 $754,285 $67,402 $436,085 $642,818 $3,046,466
Berks $2,569,096 $1,450,088 $742,944 $4,421,524 $393,732 $1,102,427 $4,925,762 $49,269 $1,309,099 $14,176,759 $1,339,409 $9,102,974 $7,104,572 $48,687,655
Blair $580,932 $272,363 $246,103 $1,683,790 $81,323 $251,991 $1,588,816 $10,739 $298,879 $3,239,741 $359,042 $2,229,470 $2,354,756 $13,197,943
Bradford $303,641 $117,448 $96,701 $670,492 $34,747 $124,631 $622,827 $2,035 $62,662 $938,187 $127,429 $758,124 $1,168,239 $5,027,163
Bucks $6,221,597 $2,312,770 $1,732,623 $8,150,588 $1,038,253 $2,639,011 $6,680,400 $206,517 $4,194,260 $55,372,996 $3,054,580 $22,851,558 $15,422,095 $129,877,249
Butler $1,679,120 $356,527 $462,629 $2,673,703 $224,423 $652,525 $2,882,022 $46,673 $870,747 $11,512,204 $739,196 $5,233,174 $5,181,175 $32,514,117
Cambria $562,322 $316,201 $229,224 $1,696,635 $106,541 $260,178 $1,609,775 $12,540 $297,817 $2,683,461 $308,409 $2,531,124 $2,630,219 $13,244,448
Cameron $13,798 $10,734 $7,072 $79,713 $2,737 $6,950 $60,993 $37 $5,946 $67,520 $8,361 $48,864 $92,227 $404,951
Carbon $258,706 $142,908 $76,074 $563,388 $49,277 $84,782 $434,694 $1,337 $89,925 $1,034,930 $81,821 $932,103 $744,557 $4,494,502
Centre $1,248,030 $361,607 $205,914 $2,152,434 $174,365 $682,354 $2,606,853 $48,487 $849,895 $8,654,632 $864,854 $4,836,590 $3,909,198 $26,595,213
Chester $4,949,912 $1,506,907 $1,138,854 $6,059,820 $785,728 $2,673,230 $5,848,407 $158,388 $3,959,894 $52,206,410 $2,714,615 $18,943,870 $13,522,885 $114,468,919
Clarion $149,986 $69,019 $63,461 $560,528 $17,914 $61,512 $530,296 $1,694 $72,699 $635,105 $89,660 $618,376 $713,674 $3,583,924
Clearfield $334,501 $213,696 $134,092 $1,027,639 $49,603 $106,176 $876,693 $6,147 $136,193 $1,329,820 $146,093 $1,097,512 $1,437,999 $6,896,163
Clinton $105,622 $63,248 $47,094 $458,507 $12,891 $58,243 $412,114 $1,409 $55,756 $551,726 $69,350 $537,384 $529,652 $2,902,998
Columbia $347,080 $129,093 $94,739 $856,458 $65,226 $160,020 $946,222 $5,710 $143,296 $1,769,894 $168,530 $1,515,138 $1,186,580 $7,387,986
Crawford $395,767 $204,977 $124,445 $874,471 $42,180 $171,835 $1,004,882 $3,890 $142,146 $1,655,482 $174,666 $1,448,273 $1,771,750 $8,014,763
Cumberland $2,399,767 $617,391 $527,929 $3,334,518 $318,927 $912,590 $3,652,986 $59,887 $1,286,001 $15,583,469 $849,703 $6,906,538 $6,419,872 $42,869,576
Dauphin $2,059,674 $1,773,852 $622,432 $3,381,436 $325,843 $1,216,366 $3,861,701 $55,912 $1,203,077 $13,624,711 $1,061,363 $7,902,387 $5,846,469 $42,935,225
Delaware $3,150,762 $2,553,289 $1,118,987 $3,973,166 $832,804 $1,726,743 $4,254,731 $138,485 $2,419,324 $29,501,951 $1,580,030 $13,634,168 $7,835,714 $72,720,156
Elk $103,480 $51,826 $51,500 $377,085 $18,764 $45,459 $363,359 $1,135 $48,165 $400,921 $43,723 $332,716 $531,998 $2,370,131
Erie $1,933,798 $1,277,373 $579,794 $4,253,052 $246,326 $948,349 $5,055,982 $27,286 $962,088 $10,027,007 $1,220,523 $8,602,251 $7,038,384 $42,172,215
Fayette $362,848 $341,618 $167,810 $1,230,752 $59,999 $203,640 $1,099,996 $9,303 $254,470 $2,245,011 $304,046 $2,044,037 $2,290,348 $10,613,877
Forest $31,198 $13,600 $13,566 $95,281 $3,270 $11,185 $89,657 $20 $10,949 $86,378 $13,192 $116,047 $224,738 $709,079
Franklin $559,288 $405,242 $186,930 $1,215,487 $90,958 $230,030 $1,271,641 $16,312 $222,549 $2,960,821 $279,896 $1,778,550 $1,907,259 $11,124,964
Fulton $27,737 $23,696 $10,142 $81,948 $1,925 $10,213 $79,957 $248 $8,562 $71,540 $7,007 $74,707 $124,209 $521,890
Greene $67,942 $45,095 $40,091 $258,567 $7,005 $32,363 $260,822 $773 $33,790 $273,936 $62,227 $388,290 $684,492 $2,155,394
Huntingdon $131,657 $86,603 $55,856 $336,706 $14,582 $57,655 $404,797 $1,440 $45,602 $492,829 $55,890 $465,558 $529,784 $2,678,960
Indiana $341,298 $140,558 $124,359 $956,267 $64,710 $141,292 $1,015,652 $6,989 $174,453 $1,855,937 $233,410 $1,607,182 $1,554,543 $8,216,651
Jefferson $95,417 $85,445 $47,691 $428,972 $18,572 $35,640 $376,232 $883 $42,712 $432,407 $42,069 $421,834 $627,060 $2,654,935
Juniata $33,593 $27,280 $14,288 $119,042 $4,859 $14,829 $115,295 $333 $12,330 $134,564 $12,021 $115,968 $182,631 $787,032
Lackawanna $2,052,510 $963,792 $497,119 $3,691,086 $571,400 $741,826 $2,218,516 $50,639 $948,451 $12,467,486 $749,094 $7,035,646 $5,382,170 $37,369,735
Lancaster $3,551,183 $1,252,620 $839,969 $4,868,797 $369,156 $1,195,900 $5,415,445 $55,834 $1,467,546 $17,126,728 $1,054,003 $9,334,254 $7,996,904 $54,528,338
Lawrence $268,213 $245,895 $131,492 $690,535 $45,795 $138,463 $769,853 $4,972 $171,670 $1,632,566 $214,041 $1,660,983 $1,574,401 $7,548,880
Lebanon $617,940 $330,218 $188,437 $1,100,071 $73,536 $228,436 $1,388,884 $6,588 $226,767 $2,561,157 $197,448 $1,820,202 $1,764,898 $10,504,582
Lehigh $3,441,728 $2,028,162 $881,890 $4,816,490 $554,811 $1,439,525 $4,676,083 $84,546 $2,272,791 $24,032,805 $1,510,584 $12,031,684 $8,575,362 $66,346,462
Luzerne $2,310,256 $1,680,550 $654,626 $4,576,819 $531,697 $790,262 $3,117,679 $62,272 $1,073,177 $12,348,463 $874,151 $8,336,522 $6,869,918 $43,226,392
Lycoming $661,896 $371,049 $209,347 $1,827,456 $96,773 $366,576 $2,025,571 $11,655 $350,152 $4,122,275 $328,718 $2,902,062 $2,787,507 $16,061,038
McKean $200,956 $85,080 $59,842 $573,152 $23,206 $68,591 $510,242 $1,632 $63,510 $741,045 $74,707 $632,094 $846,422 $3,880,477
Mercer $479,544 $342,469 $189,545 $1,308,163 $77,227 $277,155 $1,262,374 $7,587 $221,510 $2,663,132 $368,393 $2,477,983 $2,698,727 $12,373,808
Mifflin $163,463 $57,514 $44,967 $556,553 $15,901 $59,188 $456,307 $1,034 $43,565 $476,136 $50,436 $471,321 $561,551 $2,957,937
Monroe $1,857,776 $1,225,335 $522,686 $2,539,339 $257,567 $613,209 $2,449,341 $42,832 $809,991 $9,237,508 $868,820 $6,305,956 $4,138,775 $30,869,134
Montgomery $7,653,640 $4,175,433 $2,378,434 $9,771,628 $1,759,507 $4,238,527 $9,552,144 $624,350 $6,925,099 $85,318,073 $5,098,363 $31,408,079 $21,700,708 $190,603,986
Montour $168,170 $58,865 $41,243 $292,892 $23,510 $66,285 $297,760 $2,177 $83,535 $958,386 $52,615 $459,016 $463,722 $2,968,177
Northampton $2,505,521 $1,065,395 $632,556 $3,811,107 $341,687 $959,451 $3,329,613 $41,851 $1,108,132 $13,652,308 $1,017,846 $8,267,824 $5,664,054 $42,397,344
Northumberland $286,465 $165,506 $100,858 $841,754 $58,660 $125,725 $1,030,971 $4,086 $141,886 $1,141,448 $123,170 $1,104,578 $1,094,131 $6,219,237
Perry $132,088 $45,705 $34,870 $280,028 $17,746 $36,000 $315,891 $908 $36,387 $374,487 $35,160 $322,680 $491,247 $2,123,197
Philadelphia $6,718,188 $16,341,462 $4,102,326 $13,546,663 $3,926,861 $7,035,745 $17,930,451 $497,674 $8,355,278 $59,418,941 $8,032,125 $51,220,870 $25,712,912 $222,839,496
