Table6:	RY2012-13	SharebyCounty	BasedonDollarSalesAmount	
Rank	County	RY2011-2012DollarSalesAmount	RY2012-2013DollarSalesAmount	RY2012-2013CountyShare
1	Allegheny	249426053.00	260054637.00	0.13
2	Philadelphia	226268260.00	231297323.00	0.12
3	Montgomery	187306951.00	194464807.00	0.10
4	Bucks	126572043.00	132558345.00	0.07
5	Chester	111281056.00	116156849.00	0.06
6	Delaware	72875395.00	74591398.00	0.04
7	Lehigh	66249500.00	68083349.00	0.04
8	Lancaster	53725528.00	56225668.00	0.03
9	York	49942832.00	50979299.00	0.03
10	Westmoreland	50135825.00	52052044.00	0.03
11	Berks	48891940.00	50410337.00	0.03
12	Northampton	46990212.00	43640890.00	0.02
13	Luzerne	44087906.00	45013050.00	0.02
14	Dauphin	43264069.00	44354241.00	0.02
15	Erie	42875019.00	43693781.00	0.02
16	Cumberland	42041315.00	43999140.00	0.02
17	Lackawanna	37879327.00	38732137.00	0.02
18	Monroe	31259062.00	31770268.00	0.02
19	Butler	31809508.00	33366465.00	0.02
20	Washington	27753405.00	28586652.00	0.01
21	Centre	26290516.00	27070013.00	0.01
22	Beaver	17834057.00	18422561.00	0.01
23	Lycoming	16357808.00	16574608.00	0.01
24	Cambria	13827801.00	14022167.00	0.01
25	Blair	13450615.00	13808372.00	0.01
26	Mercer	12495949.00	12826758.00	0.01
27	Schuylkill	11858898.00	12139332.00	0.01
28	Franklin	11010627.00	11542443.00	0.01
29	Lebanon	10503541.00	10929547.00	0.01
30	Wayne	10647584.00	10831218.00	0.01
31	Fayette	10900525.00	11154142.00	0.01
32	Crawford	8262003.00	8378918.00	0.00
33	Indiana	8198055.00	8554421.00	0.00
34	Lawrence	7584611.00	7851164.00	0.00
35	Columbia	7376885.00	7681270.00	0.00
36	Clearfield	7092909.00	7272929.00	0.00
37	Northumberland	6497196.00	6584307.00	0.00
38	Pike	6439038.00	6505715.00	0.00
39	Adams	5536450.00	5639600.00	0.00
40	Bradford	5201183.00	5205979.00	0.00
41	Carbon	4641992.00	4680917.00	0.00
42	Union	4507328.00	4674154.00	0.00
43	Somerset	4577332.00	4522054.00	0.00
44	Venango	4096285.00	4228151.00	0.00
45	McKean	3885956.00	4045273.00	0.00
46	Warren	3685906.00	3789417.00	0.00
47	Armstrong	3770486.00	3871490.00	0.00
48	Clarion	3620604.00	3750878.00	0.00
49	Tioga	3946655.00	3826680.00	0.00
50	Montour	2945199.00	3073010.00	0.00
51	Mifflin	2996268.00	3083130.00	0.00
52	Clinton	3055392.00	3017100.00	0.00
53	Susquehanna	2857789.00	2883927.00	0.00
54	Bedford	2966771.00	3167639.00	0.00
55	Huntingdon	2780554.00	2813275.00	0.00
56	Jefferson	2692935.00	2806554.00	0.00
57	Snyder	2509935.00	2576352.00	0.00
58	Elk	2481523.00	2520650.00	0.00
59	Wyoming	2356005.00	2523789.00	0.00
60	Greene	2298022.00	2268648.00	0.00
61	Perry	2164769.00	2211558.00	0.00
62	Potter	1208179.00	1213357.00	0.00
63	Sullivan	787558.00	802457.00	0.00
64	Juniata	798331.00	826456.00	0.00
65	Forest	745154.00	738282.00	0.00
66	Fulton	542738.00	545849.00	0.00
67	Cameron	442491.00	422958.00	0.00
	TOTAL	1881363619.00	1937910154.00	1.00
